Mena Massoud	Aladdin (Live-Action)	One Jump Ahead (Reprise 2)
Mena Massoud	Aladdin (Live-Action)	One Jump Ahead (Reprise)
Mena Massoud	Aladdin (Live-Action)	One Jump Ahead
Mena Massoud	Aladdin (Live-Action)	A Whole New World
Mena Massoud	Aladdin (Live-Action)	Prince Ali
Mena Massoud	Aladdin (Live-Action)	Arabian Nights (2019)
Mena Massoud	Aladdin (Live-Action)	Friend Like Me(Live Action)
Mena Massoud	Aladdin (Live-Action)	Speechless (Full-live)
Gilbert Gottfried	Aladdin: The Return of Jafar	Forget About Love
Gilbert Gottfried	Aladdin: The Return of Jafar	Arabian Nights
Gilbert Gottfried	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Gilbert Gottfried	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Gilbert Gottfried	Aladdin: The Return of Jafar	You're Only Second Rate(1994)
Liz Callaway	Aladdin: The Return of Jafar	Forget About Love
Liz Callaway	Aladdin: The Return of Jafar	Arabian Nights
Liz Callaway	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Liz Callaway	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Liz Callaway	Aladdin: The Return of Jafar	You're Only Second Rate(1994)
Liz Callaway	Aladdin and the King of Thieves	Are You in or Out?
Liz Callaway	Aladdin and the King of Thieves	Out of Thin Air
Liz Callaway	Aladdin and the King of Thieves	There's a Party Here in Agrabah
Liz Callaway	Aladdin and the King of Thieves	Welcome to the Forty Thieves
Brad Kane	Aladdin: The Return of Jafar	Forget About Love
Brad Kane	Aladdin: The Return of Jafar	Arabian Nights
Brad Kane	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Brad Kane	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Brad Kane	Aladdin: The Return of Jafar	You're Only Second Rate(1994)
Brad Kane	Aladdin and the King of Theives	Father and Son
Brad Kane	Aladdin	A Whole New World
Brad Kane	Aladdin	Prince Ali (Reprise)
Brad Kane	Aladdin	Prince Ali
Brad Kane	Aladdin	Arabian Nights
Brad Kane	Aladdin	Friend Like Me(Animated)
Brad Kane	Aladdin	One Jump Ahead (animated)
Brad Kane	Aladdin	One Jump Ahead Reprise-animated
Brad Kane	Aladdin and the King of Thieves	Are You in or Out?
Brad Kane	Aladdin and the King of Thieves	Out of Thin Air
Brad Kane	Aladdin and the King of Thieves	There's a Party Here in Agrabah
Brad Kane	Aladdin and the King of Thieves	Welcome to the Forty Thieves
Robin Williams	Aladdin and the King of Theives	Father and Son
Robin Williams	Aladdin	A Whole New World
Robin Williams	Aladdin	Prince Ali (Reprise)
Robin Williams	Aladdin	Prince Ali
Robin Williams	Aladdin	Arabian Nights
Robin Williams	Aladdin	Friend Like Me(Animated)
Robin Williams	Aladdin	One Jump Ahead (animated)
Robin Williams	Aladdin	One Jump Ahead Reprise-animated
Merwin Foard	Aladdin and the King of Theives	Father and Son
Jerry Orbach	Aladdin and the King of Thieves	Are You in or Out?
Jerry Orbach	Aladdin and the King of Thieves	Out of Thin Air
Jerry Orbach	Aladdin and the King of Thieves	There's a Party Here in Agrabah
Jerry Orbach	Aladdin and the King of Thieves	Welcome to the Forty Thieves
Naomi Scott	Aladdin (Live-Action)	One Jump Ahead (Reprise 2)
Naomi Scott	Aladdin (Live-Action)	One Jump Ahead (Reprise)
Naomi Scott	Aladdin (Live-Action)	One Jump Ahead
Naomi Scott	Aladdin (Live-Action)	A Whole New World
Naomi Scott	Aladdin (Live-Action)	Prince Ali
Naomi Scott	Aladdin (Live-Action)	Arabian Nights (2019)
Naomi Scott	Aladdin (Live-Action)	Friend Like Me(Live Action)
Naomi Scott	Aladdin (Live-Action)	Speechless (Full-live)
Lea Salonga	Aladdin	A Whole New World
Lea Salonga	Aladdin	Prince Ali (Reprise)
Lea Salonga	Aladdin	Prince Ali
Lea Salonga	Aladdin	Arabian Nights
Lea Salonga	Aladdin	Friend Like Me(Animated)
Lea Salonga	Aladdin	One Jump Ahead (animated)
Lea Salonga	Aladdin	One Jump Ahead Reprise-animated
Will Smith	Aladdin (Live-Action)	One Jump Ahead (Reprise 2)
Will Smith	Aladdin (Live-Action)	One Jump Ahead (Reprise)
Will Smith	Aladdin (Live-Action)	One Jump Ahead
Will Smith	Aladdin (Live-Action)	A Whole New World
Will Smith	Aladdin (Live-Action)	Prince Ali
Will Smith	Aladdin (Live-Action)	Arabian Nights (2019)
Will Smith	Aladdin (Live-Action)	Friend Like Me(Live Action)
Will Smith	Aladdin (Live-Action)	Speechless (Full-live)
Jonathan Freeman	Aladdin	A Whole New World
Jonathan Freeman	Aladdin	Prince Ali (Reprise)
Jonathan Freeman	Aladdin	Prince Ali
Jonathan Freeman	Aladdin	Arabian Nights
Jonathan Freeman	Aladdin	Friend Like Me(Animated)
Jonathan Freeman	Aladdin	One Jump Ahead (animated)
Jonathan Freeman	Aladdin	One Jump Ahead Reprise-animated
null	Aladdin and the King of Thieves	Are You in or Out?
null	Aladdin and the King of Thieves	Out of Thin Air
null	Aladdin and the King of Thieves	There's a Party Here in Agrabah
null	Aladdin and the King of Thieves	Welcome to the Forty Thieves
Brian Hannan	Aladdin: The Return of Jafar	Forget About Love
Brian Hannan	Aladdin: The Return of Jafar	Arabian Nights
Brian Hannan	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Brian Hannan	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Brian Hannan	Aladdin: The Return of Jafar	You're Only Second Rate(1994)
Bruce Adler	Aladdin	A Whole New World
Bruce Adler	Aladdin	Prince Ali (Reprise)
Bruce Adler	Aladdin	Prince Ali
Bruce Adler	Aladdin	Arabian Nights
Bruce Adler	Aladdin	Friend Like Me(Animated)
Bruce Adler	Aladdin	One Jump Ahead (animated)
Bruce Adler	Aladdin	One Jump Ahead Reprise-animated
Dan Castellaneta	Aladdin: The Return of Jafar	Forget About Love
Dan Castellaneta	Aladdin: The Return of Jafar	Arabian Nights
Dan Castellaneta	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Dan Castellaneta	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Dan Castellaneta	Aladdin: The Return of Jafar	You're Only Second Rate(1994)
Joanathan Freeman	Aladdin: The Return of Jafar	Forget About Love
Joanathan Freeman	Aladdin: The Return of Jafar	Arabian Nights
Joanathan Freeman	Aladdin: The Return of Jafar	I'm Looking Out For Me(1994)
Joanathan Freeman	Aladdin: The Return of Jafar	Nothing In The World (Quite Like A Friend)(1994)
Joanathan Freeman	Aladdin: The Return of Jafar	You're Only Second Rate(1994)